Address,Suburb,Price,Bedrooms,Bathrooms,Cars,Land Size,Property Type,URL,Notes,Listed Date
455 Springvale Road,Glen Waverley,$1,870,000 - $1,995,000,6,4,3,750.94m²,Duplex,https://www.realestate.com.au/property-duplex+semi-detached-vic-glen+waverley-150569164,,Mar 2026
28 Angus Drive,Glen Waverley,$1,800,000 - $1,980,000,4,4,2,737m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-146332972,,Mar 2026
2A Gwingana Crescent,Glen Waverley,$2,080,000 - $2,280,000,5,2,6,1035m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150229752,,Mar 2026
20 Lindwall Street,Glen Waverley,$2,088,000,5,2,1,725m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-149152832,,Mar 2026
818 Highbury Road,Glen Waverley,$2,100,000 - $2,300,000,5,3,2,654m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150367360,,Mar 2026
108 Springvale Road,Glen Waverley,$1,800,000 - $1,980,000,4,3,2,727m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150519620,,Mar 2026
8 Highvale Road,Glen Waverley,$1,800,000 - $1,900,000,4,2,2,798m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150346232,,Mar 2026
1 Golden Grove,Glen Waverley,$2,000,000,5,2,2,662m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-149372416,,Mar 2026
22 Glen Court,Glen Waverley,$2,000,000 - $2,200,000,5,2,2,759m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150136516,,Mar 2026
19 Rhodes Drive,Glen Waverley,$1,850,000 - $2,035,000,5,3,2,677m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150002836,,Mar 2026
32 Roberts Street,Glen Waverley,$2,000,000 - $2,200,000,4,4,3,750m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-149922120,,Mar 2026
22 Falconer Street,Glen Waverley,$2,000,000,4,2,2,1338m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-146363284,,Mar 2026
6 Garden Court,Wheelers Hill,$1,800,000 - $1,980,000,4,2,2,943m²,House,https://www.realestate.com.au/property-house-vic-wheelers+hill-149619704,,Mar 2026
33 Sylphide Way,Wantirna South,$1,880,000 - $1,980,000,5,3,3,762m²,House,https://www.realestate.com.au/property-house-vic-wantirna+south-150417724,,Mar 2026
15 Centre Road,Vermont,$2,100,000 - $2,300,000,4,4,4,592m²,House,https://www.realestate.com.au/property-house-vic-vermont-148515732,,Mar 2026
107 Haversham Avenue,Wheelers Hill,$1,880,000 - $1,980,000,5,2,4,769m²,House,https://www.realestate.com.au/property-house-vic-wheelers+hill-149919752,,Mar 2026
104 Lum Road,Wheelers Hill,$2,000,000 - $2,200,000,6,3,2,802m²,House,https://www.realestate.com.au/property-house-vic-wheelers+hill-150200724,,Mar 2026
9 Holyrood Drive,Vermont,$1,900,000 - $2,090,000,4,3,2,630m²,House,https://www.realestate.com.au/property-house-vic-vermont-149704760,,Mar 2026
18 Mount Pleasant Drive,Mount Waverley,$2,000,000 - $2,200,000,5,2,2,725m²,House,https://www.realestate.com.au/property-house-vic-mount+waverley-150505488,,Mar 2026
35 Philip Street,Vermont,Brand New $2m,5,3,2,601m²,House,https://www.realestate.com.au/property-house-vic-vermont-150165408,,Mar 2026
78 Garnett Road,Wheelers Hill,$1,800,000 - $1,900,000,4,3,2,651m²,House,https://www.realestate.com.au/property-house-vic-wheelers+hill-149377812,,Mar 2026
15 Frances Avenue,Vermont,$2,100,000 - $2,300,000,5,3,2,,House,,Mar 2026
8 Nethercote Drive,Mount Waverley,$2,000,000 - $2,100,000,6,3,4,708m²,House,https://www.realestate.com.au/property-house-vic-mount+waverley-150477332,,Mar 2026
101 Ashwood Drive,Ashwood,$1,850,000 - $2,000,000,5,3,2,775m²,House,https://www.realestate.com.au/property-house-vic-ashwood-150349700,,Mar 2026
5 Saxon Court,Oakleigh,$1,800,000 - $1,900,000,5,3,4,875m²,House,https://www.realestate.com.au/property-house-vic-oakleigh-150388028,,Mar 2026
180 Clayton Road,Clayton,$1,800,000 - $1,980,000,4,2,2,725m²,House,https://www.realestate.com.au/property-house-vic-clayton-149154248,,Mar 2026
1669 Dandenong Road,Oakleigh East,$1,995,000,4,3,5,604m²,House,https://www.realestate.com.au/property-house-vic-oakleigh+east-150219348,,Mar 2026
