Address,Suburb,Price,Bedrooms,Bathrooms,Cars,Land Size,Property Type,URL,Notes,Listed Date
127 Springvale Road,Glen Waverley,$1,450,000 - $1,550,000,4,2,2,673m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-148906032,,Mar 2026
5/4-5 Tawonga Court,Glen Waverley,$2,150,000 - $2,300,000,4,4,2,764m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-148775980,,Mar 2026
11 Newton Grove,Glen Waverley,$1,700,000 - $1,800,000,4,2,2,832m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150573760,,Mar 2026
455 Springvale Road,Glen Waverley,$1,870,000 - $1,995,000,6,4,3,750.94m²,Duplex,https://www.realestate.com.au/property-duplex+semi-detached-vic-glen+waverley-150569164,,Mar 2026
11 Windella Crescent,Glen Waverley,$2,250,000 - $2,450,000,4,3,2,1131m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150240200,,Mar 2026
5 Norfolk Street,Glen Waverley,$1,550,000 - $1,650,000,7,4,2,778m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150206444,,Mar 2026
28 Angus Drive,Glen Waverley,$1,800,000 - $1,980,000,4,4,2,737m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-146332972,,Mar 2026
29 Whites Lane,Glen Waverley,$1,650,000 - $1,750,000,6,2,2,869m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150229768,,Mar 2026
2A Gwingana Crescent,Glen Waverley,$2,080,000 - $2,280,000,5,2,6,1035m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150229752,,Mar 2026
1 Louise Court,Glen Waverley,$1,750,000 - $1,850,000,5,3,3,659m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150379904,,Mar 2026
20 Lindwall Street,Glen Waverley,$2,088,000,5,2,1,725m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-149152832,,Mar 2026
44 Hampshire Road,Glen Waverley,$1,500,000 - $1,600,000,4,2,2,1024m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150088048,,Mar 2026
58 Atheldene Drive,Glen Waverley,$1,700,000 - $1,800,000,5,2,2,699m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150084752,,Mar 2026
1 Avon Court,Glen Waverley,$1,280,000 - $1,380,000,8,3,4,721m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-147371176,,Mar 2026
2 Northam Street,Glen Waverley,$1,750,000 - $1,850,000,4,2,2,712m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-149812948,,Mar 2026
877 Waverley Road,Glen Waverley,$1,200,000 - $1,300,000,4,2,2,664m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150216560,,Mar 2026
3 Utah Road,Glen Waverley,$1,450,000 - $1,550,000,4,2,3,745m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150371324,,Mar 2026
818 Highbury Road,Glen Waverley,$2,100,000 - $2,300,000,5,3,2,654m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150367360,,Mar 2026
35 Westlands Road,Glen Waverley,$1,250,000 - $1,375,000,4,2,2,650m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150520060,,Mar 2026
108 Springvale Road,Glen Waverley,$1,800,000 - $1,980,000,4,3,2,727m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-150519620,,Mar 2026
66 Whites Lane,Glen Waverley,$1,550,000 - $1,630,000,4,2,4,654m²,House,https://www.realestate.com.au/property-house-vic-glen+waverley-149711952,,Mar 2026
